"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","ID_PAIS_DESTINO","UNI_VEH"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2022,"01","Audi","Q5","Camiones ligeros","SUV's",4,2584
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2022,"01","Audi","Q5","Camiones ligeros","SUV's",16,345
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2022,"01","Audi","Q5","Camiones ligeros","SUV's",28,5
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2022,"01","Audi","Q5","Camiones ligeros","SUV's",40,680
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2022,"01","Audi","Q5","Camiones ligeros","SUV's",42,18
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2022,"01","Audi","Q5","Camiones ligeros","SUV's",43,34
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2022,"01","Audi","Q5","Camiones ligeros","SUV's",46,14
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2022,"01","Audi","Q5","Camiones ligeros","SUV's",48,87
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2022,"01","Audi","Q5","Camiones ligeros","SUV's",57,2
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2022,"01","Audi","Q5","Camiones ligeros","SUV's",66,4848
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2022,"01","Audi","Q5","Camiones ligeros","SUV's",83,3
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2022,"01","Audi","Q5","Camiones ligeros","SUV's",90,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2022,"01","Audi","Q5","Camiones ligeros","SUV's",93,3
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2022,"01","Audi","Q5","Camiones ligeros","SUV's",96,1
