"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","ID_PAIS_DESTINO","UNI_VEH"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2025,"01","Acura","ADX","Camiones ligeros","SUV's",66,8
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2025,"01","Audi","Q5","Camiones ligeros","SUV's",4,2405
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2025,"01","Audi","Q5","Camiones ligeros","SUV's",12,33
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2025,"01","Audi","Q5","Camiones ligeros","SUV's",31,19
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2025,"01","Audi","Q5","Camiones ligeros","SUV's",40,390
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2025,"01","Audi","Q5","Camiones ligeros","SUV's",43,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2025,"01","Audi","Q5","Camiones ligeros","SUV's",46,32
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2025,"01","Audi","Q5","Camiones ligeros","SUV's",50,5
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2025,"01","Audi","Q5","Camiones ligeros","SUV's",53,2
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2025,"01","Audi","Q5","Camiones ligeros","SUV's",66,3827
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2025,"01","Audi","Q5","Camiones ligeros","SUV's",85,7
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2025,"01","Audi","Q5","Camiones ligeros","SUV's",93,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2025,"01","Audi","Q5","Camiones ligeros","SUV's",125,6
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2025,"01","Audi","Q5","Camiones ligeros","SUV's",167,9
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2025,"01","Audi","Q5","Camiones ligeros","SUV's",172,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2025,"01","Audi","Q5","Camiones ligeros","SUV's",174,21
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2025,"01","Audi","Q5","Camiones ligeros","SUV's",175,45
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2025,"01","Audi","Q5","Camiones ligeros","SUV's",204,2
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2025,"01","Audi","Q5","Camiones ligeros","SUV's",210,32
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2025,"01","Audi","Q5","Camiones ligeros","SUV's",215,24
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2025,"01","Audi","Q5","Camiones ligeros","SUV's",219,3
