"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","ID_PAIS_DESTINO","UNI_VEH"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","Audi","Q5","Camiones ligeros","SUV's",4,2544
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","Audi","Q5","Camiones ligeros","SUV's",10,58
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","Audi","Q5","Camiones ligeros","SUV's",12,20
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","Audi","Q5","Camiones ligeros","SUV's",16,218
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","Audi","Q5","Camiones ligeros","SUV's",31,96
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","Audi","Q5","Camiones ligeros","SUV's",32,10
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","Audi","Q5","Camiones ligeros","SUV's",40,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","Audi","Q5","Camiones ligeros","SUV's",43,33
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","Audi","Q5","Camiones ligeros","SUV's",46,10
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","Audi","Q5","Camiones ligeros","SUV's",48,25
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","Audi","Q5","Camiones ligeros","SUV's",66,35
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","Audi","Q5","Camiones ligeros","SUV's",83,10
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","Audi","Q5","Camiones ligeros","SUV's",93,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","Audi","Q5","Camiones ligeros","SUV's",96,3
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","Audi","Q5","Camiones ligeros","SUV's",125,3
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","Audi","Q5","Camiones ligeros","SUV's",126,178
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","Audi","Q5","Camiones ligeros","SUV's",167,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","Audi","Q5","Camiones ligeros","SUV's",174,12
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","Audi","Q5","Camiones ligeros","SUV's",187,16
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","Audi","Q5","Camiones ligeros","SUV's",210,55
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","Audi","Q5","Camiones ligeros","SUV's",214,10
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","Audi","Q5","Camiones ligeros","SUV's",215,17
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","Audi","Q5","Camiones ligeros","SUV's",224,4
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","Audi","Q5","Camiones ligeros","SUV's",231,10
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","Audi","Q5","Camiones ligeros","SUV's",235,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","BMW Group","M2","Automóviles","De Lujo",4,149
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","BMW Group","M2","Automóviles","De Lujo",10,3
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","BMW Group","M2","Automóviles","De Lujo",16,145
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","BMW Group","M2","Automóviles","De Lujo",17,21
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","BMW Group","M2","Automóviles","De Lujo",20,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","BMW Group","M2","Automóviles","De Lujo",23,4
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","BMW Group","M2","Automóviles","De Lujo",40,15
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","BMW Group","M2","Automóviles","De Lujo",42,0
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","BMW Group","M2","Automóviles","De Lujo",43,13
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2024,"01","BMW Group","M2","Automóviles","De Lujo",44,2
